TimeStamp,ch1,ch2,ch3,ch4
2019522.4066,20606.19,9773.06,14620.74,41361.24
2019522.4106,20587.11,9777.59,14628.94,41371.49
2019522.4146,20567.71,9775.45,14626.93,41370.78
2019522.4186,20590.59,9772.11,14615.39,41357.38
2019522.4226,20614.15,9775.31,14604.52,41342.93
2019522.4266,20601.42,9777.26,14606.38,41346.89
2019522.4306,20589.59,9777.17,14625.69,41370.35
2019522.4346,20586.73,9781.27,14640.86,41384.08
2019522.4386,20609.14,9785.94,14630.65,41370.59
2019522.4426,20615.87,9780.93,14615.16,41353.28
2019522.4466,20599.08,9784.6,14624.17,41360.57
2019522.4506,20580.72,9792.38,14638.38,41374.02
2019522.4546,20573.05,9793.0,14644.34,41383.99
2019522.4586,20609.81,9802.15,14651.16,41391.52
2019522.4626,20628.65,9792.23,14636.76,41376.17
2019522.4665,20624.54,9789.9,14642.24,41382.84
2019522.4705,20607.14,9780.74,14651.2,41392.62
2019522.4745,20594.89,9781.17,14655.35,41396.34
2019522.4785,20622.73,9787.13,14652.4,41389.42
2019522.4825,20633.46,9781.79,14636.33,41371.49
2019522.4865,20620.25,9783.79,14645.39,41377.5
2019522.4905,20610.86,9787.18,14668.13,41398.82
2019522.4945,20609.52,9797.05,14687.35,41422.52
2019522.4985,20623.73,9794.0,14673.0,41407.64
2019522.5025,20628.93,9778.64,14648.63,41383.7
2019522.5065,20618.35,9768.3,14648.2,41386.51
2019522.5105,20600.7,9771.68,14654.73,41397.77
2019522.5145,20591.31,9777.5,14664.94,41408.21
2019522.5185,20620.49,9783.22,14664.32,41404.11
2019522.5225,20646.43,9780.55,14654.73,41395.1
2019522.5265,20641.23,9785.03,14666.37,41410.83
2019522.5305,20625.98,9795.86,14688.88,41432.1
2019522.5345,20617.15,9796.62,14699.7,41443.16
2019522.5385,20632.7,9784.75,14681.1,41422.09
2019522.5425,20640.71,9764.0,14655.69,41393.33
2019522.5465,20607.76,9751.65,14647.87,41388.47
2019522.5505,20591.45,9759.0,14661.08,41406.3
2019522.5545,20593.41,9767.87,14677.76,41423.71
2019522.5585,20632.89,9775.31,14680.72,41426.9
2019522.5625,20652.11,9778.6,14676.43,41418.13
2019522.5665,20633.37,9779.45,14678.0,41421.18
2019522.5705,20616.39,9772.78,14686.54,41431.81
2019522.5745,20600.66,9770.68,14686.35,41431.38
2019522.5785,20619.68,9773.16,14676.05,41417.32
2019522.5825,20637.8,9773.16,14665.32,41402.77
2019522.5865,20625.26,9768.82,14666.99,41407.26
2019522.5905,20607.62,9770.59,14678.43,41418.37
2019522.5945,20601.37,9771.92,14685.49,41427.9
2019522.5985,20631.46,9775.59,14682.63,41421.9
2019522.6025,20643.95,9762.67,14666.61,41402.44
2019522.6065,20622.92,9753.8,14663.55,41401.15
2019522.6105,20597.6,9755.61,14671.76,41414.69
2019522.6145,20589.54,9763.39,14685.06,41430.38
2019522.6185,20621.02,9772.11,14680.86,41424.09
2019522.6225,20636.61,9764.15,14665.41,41402.68
2019522.6265,20617.3,9762.96,14667.56,41405.59
2019522.6305,20598.7,9764.91,14676.05,41419.32
2019522.6345,20590.26,9767.3,14682.91,41428.76
2019522.6385,20622.3,9773.3,14681.96,41427.0
2019522.6425,20644.14,9766.72,14668.28,41411.21
2019522.6465,20626.83,9762.67,14667.23,41408.78
2019522.6505,20602.37,9762.91,14677.34,41418.7
2019522.6545,20585.4,9766.06,14688.83,41426.95
2019522.6585,20613.34,9767.49,14683.82,41421.23
2019522.6625,20634.03,9760.14,14667.66,41406.06
2019522.6665,20617.68,9753.9,14661.84,41402.92
2019522.6705,20599.65,9755.04,14668.42,41415.51
2019522.6745,20598.6,9760.57,14679.1,41428.28
2019522.6785,20627.64,9757.76,14673.66,41420.99
2019522.6825,20644.29,9758.04,14662.98,41405.97
2019522.6865,20621.49,9754.61,14663.22,41404.2
2019522.6905,20596.89,9756.61,14672.23,41413.36
2019522.6945,20589.88,9760.09,14682.49,41423.37
2019522.6985,20618.25,9761.24,14677.05,41415.27
2019522.7025,20642.38,9759.57,14664.46,41400.72
2019522.7065,20618.3,9752.85,14661.27,41397.62
2019522.7105,20595.36,9753.13,14667.94,41410.88
2019522.7145,20586.54,9754.33,14673.71,41414.74
2019522.7185,20607.19,9748.03,14663.17,41404.63
2019522.7225,20623.35,9741.78,14648.01,41393.76
2019522.7265,20611.34,9743.41,14651.16,41400.49
2019522.7305,20601.28,9749.56,14669.18,41423.75
2019522.7345,20621.35,9769.97,14707.76,41462.38
2019522.7385,20654.06,9772.02,14710.95,41464.48
2019522.7425,20650.44,9758.66,14681.72,41428.28
2019522.7465,20604.95,9738.64,14654.88,41399.91
2019522.7505,20576.38,9737.06,14654.83,41400.15
2019522.7545,20562.32,9728.62,14659.41,41403.73
2019522.7585,20590.93,9727.24,14655.54,41396.43
2019522.7625,20601.94,9718.9,14635.52,41376.26
2019522.7665,20587.64,9721.42,14641.33,41385.51
2019522.7705,20569.09,9722.9,14654.5,41400.1
2019522.7745,20561.17,9727.86,14666.8,41406.83
2019522.7785,20593.65,9733.77,14664.89,41402.15
2019522.7825,20605.14,9727.15,14646.01,41380.51
2019522.7865,20594.69,9727.81,14651.59,41390.71
2019522.7905,20583.06,9734.54,14669.8,41411.45
2019522.7945,20582.82,9738.26,14683.15,41427.0
2019522.7985,20617.2,9737.73,14680.05,41423.33
2019522.8025,20638.04,9738.35,14668.37,41410.88
2019522.8065,20618.97,9735.44,14665.13,41410.69
2019522.8105,20592.79,9731.72,14666.85,41416.55
2019522.8145,20581.01,9730.53,14673.85,41423.04
2019522.8185,20599.42,9736.4,14668.94,41410.83
