TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2019525.2864,430.721,808.128,379.664,-43.75,-1863.75,-148.75,848.16,-632.32,-376.96
2019525.3364,441.274,804.895,381.738,-52.5,-1758.75,166.25,858.8,-633.84,-376.96
2019525.3864,438.468,807.457,380.091,-61.25,-1400.0,-113.75,855.76,-623.2,-361.76
2019525.4364,437.187,808.494,379.176,446.25,-1461.25,-122.5,845.12,-627.76,-375.44
2019525.4863,436.516,813.801,379.054,245.0,-971.25,-297.5,849.68,-638.4,-390.64
2019525.5364,428.403,811.361,377.59,-306.25,-1216.25,-1023.75,855.76,-632.32,-387.6
2019525.5863,430.233,807.884,374.601,-463.75,-2065.0,-1312.5,860.32,-632.32,-372.4
2019525.6364,440.786,804.468,376.248,-455.0,-1093.75,-682.5,852.72,-639.92,-386.08
2019525.6863,438.285,807.152,381.738,-805.0,927.5,411.25,845.12,-629.28,-366.32
2019525.7364,432.917,801.967,381.982,-918.75,210.0,148.75,869.44,-629.28,-383.04
2019525.7864,437.187,802.577,384.788,8.75,105.0,-175.0,855.76,-618.64,-367.84
2019525.8364,441.091,810.141,392.962,385.0,3325.0,3360.0,860.32,-635.36,-373.92
2019525.8863,434.564,806.847,395.829,778.75,5871.25,7113.75,855.76,-639.92,-376.96
2019525.9364,430.538,801.235,406.504,26.25,10272.5,11751.25,826.88,-627.76,-370.88
2019525.9863,425.414,782.63,416.813,1583.75,9843.75,8968.75,858.8,-635.36,-372.4
2019526.0364,439.017,795.745,411.506,4856.25,7612.5,5188.75,846.64,-630.8,-384.56
2019526.0864,445.483,805.139,397.232,4593.75,5591.25,2021.25,855.76,-630.8,-376.96
2019526.1364,446.459,814.228,394.243,3648.75,4523.75,1478.75,843.6,-623.2,-375.44
2019526.1864,467.504,817.095,406.626,-1391.25,4453.75,3823.75,858.8,-624.72,-363.28
2019526.2364,473.116,806.969,423.34,-3123.75,4383.75,2922.5,842.08,-638.4,-375.44
2019526.2864,481.229,787.571,434.015,-43.75,4891.25,787.5,848.16,-627.76,-376.96
2019526.3364,485.621,758.474,431.453,2765.0,7306.25,-936.25,842.08,-620.16,-373.92
2019526.3863,465.674,752.313,433.649,7000.0,8706.25,-6702.5,843.6,-620.16,-375.44
2019526.4364,436.516,758.474,429.989,12906.25,12328.75,-3797.5,851.2,-632.32,-376.96
2019526.4864,418.46,768.722,427.183,13825.0,14988.75,1338.75,851.2,-620.16,-364.8
2019526.5364,400.892,769.271,432.795,15470.0,14927.5,4410.0,849.68,-627.76,-355.68
2019526.5864,397.72,758.047,430.66,17071.25,13650.0,5460.0,840.56,-642.96,-340.48
